player_id,name,url,position,score,hometown,offers,state
282,Andrew McMillan,https://247sports.com/player/andrew-mcmillan-46085517/high-school,OT ,0.8072," Long Beach  (Long Beach, MS)    ","['South Alabama', 'Southeastern Louisiana']",MS
283,Chance Lovertich,https://247sports.com/player/chance-lovertich-46096510/high-school,PRO ,0.8025," Mississippi Gulf Coast C.C. (Perkinston, MS)    ",[],MS
284,Quentin Wilfawn,https://247sports.com/player/quentin-wilfawn-89818/high-school,ILB ,0.8," Northwest Mississippi C.C. (Senatobia, MS)    ","['Charlotte', 'Eastern Illinois', 'Southeast Missouri State']",MS
301,Myles Slusher,https://247sports.com/player/myles-slusher-46048503/high-school,S ,0.9282," Broken Arrow (Broken Arrow, OK)                    ","['Arkansas', 'Nebraska', 'Oregon', 'UCLA', 'Alabama', 'Arkansas State', 'Baylor', 'Colorado', 'Georgia', 'Georgia Tech', 'Iowa State', 'Kansas', 'LSU', 'Memphis', 'Michigan', 'Minnesota', 'Mississippi State', 'Missouri', 'Nevada', 'Notre Dame', 'Oklahoma State', 'Ole Miss', 'TCU', 'Texas', 'Texas A&M', 'Texas Tech', 'Troy', 'West Virginia', 'Oklahoma']",OK
302,Darin Turner,https://247sports.com/player/darin-turner-46040571/high-school,WR ,0.9189," Memphis Central (Memphis, TN)    ","['Arkansas', 'LSU', 'Alabama', 'Auburn', 'Clemson', 'Louisville', 'Miami', 'Mississippi State', 'Ole Miss', 'Tennessee']",TN
303,Blayne Toll,https://247sports.com/player/blayne-toll-46048468/high-school,SDE ,0.8827," Hazen (Hazen, AR)    ","['Arkansas', 'Tennessee', 'Arkansas State', 'Auburn', 'Baylor', 'Boston College', 'Carroll College', 'Central Michigan', 'FIU', 'Illinois', 'Kansas', 'Louisville', 'LSU', 'Memphis', 'Nebraska', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Rutgers', 'Southern Miss', 'TCU', 'Texas State', 'Vanderbilt', 'West Virginia', 'Alabama', 'Notre Dame']",AR
304,Kelin Burrle,https://247sports.com/player/kelin-burrle-46052138/high-school,OLB ,0.8633," Helen Cox (Harvey, LA)    ","['Arkansas', 'UTSA', 'Colorado', 'Kansas', 'Kentucky', 'Louisiana Tech', 'LSU', 'South Alabama', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Tulane', 'UAB', 'West Virginia']",LA
305,Julius Coates,https://247sports.com/player/julius-coates-46094042/high-school,SDE ,0.8528," East Mississippi C.C. (Scooba, MS)    ",[],MS
322,Myles Murao,https://247sports.com/player/myles-murao-46048409/high-school,OC ,0.9499," Mater Dei (Santa Ana, CA)    ","['Washington', 'Alabama', 'Arizona State', 'Auburn', 'Colorado', 'LSU', 'Michigan', 'Mississippi State', 'Nebraska', 'Oklahoma State', 'Oregon', 'Oregon State', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Wisconsin', 'California', 'Florida', 'Notre Dame', 'Stanford']",CA
323,Gaard Memmelaar,https://247sports.com/player/gaard-memmelaar-46056981/high-school,OG ,0.8763," Middleton (Middleton, ID)  ",['Washington'],ID
324,Triston Brown,https://247sports.com/player/triston-brown-46081414/high-school,P ,0.7989," Mt. San Antonio College (Walnut, CA)  ",[],CA
411,Mitch Griffis,https://247sports.com/player/mitch-griffis-46049005/high-school,DUAL ,0.871," Broad Run (Ashburn, VA)  ","['Wake Forest', 'Appalachian State', 'Harvard', 'Howard', 'Kent State', 'Louisville', 'Maryland', 'North Carolina', 'Vanderbilt', 'West Virginia', 'William & Mary', 'Duke', 'Louisville', 'Maryland', 'Purdue', 'Virginia', 'Virginia Tech']",VA
412,George Sell,https://247sports.com/player/george-sell-46082463/high-school,OT ,0.8533," Kenston (Chagrin Falls, OH)    ","['Wake Forest', 'Ball State', 'Boston College', 'Bowling Green', 'Cincinnati', 'Columbia', 'Cornell', 'Duke', 'Eastern Michigan', 'Georgia Tech', 'Indiana', 'Iowa State', 'Kent State', 'Louisville', 'Michigan State', 'Ohio', 'Toledo', 'Tulane', 'Vanderbilt', 'Western Michigan', 'Wyoming', 'Stanford']",OH
413,Ahmani Marshall,https://247sports.com/player/ahmani-marshall-46056899/high-school,RB ,0.851," East Forsyth (Kernersville, NC)    ","['Wake Forest', 'Air Force', 'Charlotte', 'Duke', 'East Carolina', 'Kentucky', 'Syracuse', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Clemson', 'Coastal Carolina', 'Georgia Tech', 'Louisville', 'Michigan State', 'NC State', 'North Carolina']",NC
414,Quinton Cooley,https://247sports.com/player/quinton-cooley-46083781/high-school,RB ,0.8490000000000001," Southern Nash (Bailey, NC)  ","['Wake Forest', 'Navy']",NC
415,Jahmal Banks,https://247sports.com/player/jahmal-banks-46045966/high-school,WR ,0.8464," St. Frances Academy (Baltimore, MD)    ","['Wake Forest', 'Army', 'Columbia', 'Elon', 'Harvard', 'Kent State', 'Massachusetts', 'Pennsylvania', 'Princeton', 'Rutgers', 'Syracuse', 'William & Mary', 'Yale']",MD
416,Malik Puryear,https://247sports.com/player/malik-puryear-46078799/high-school,SDE ,0.8390000000000001," High Point Christian Academy (High Point, NC)    ","['Wake Forest', 'Charlotte', 'Liberty', 'Louisville', 'Virginia', 'Duke', 'NC State', 'Old Dominion']",NC
417,James Ash,https://247sports.com/player/james-ash-46055320/high-school,DT ,0.8382," Chamberlain (Tampa, FL)    ","['Wake Forest', 'Bowling Green', 'Georgia Tech', 'Illinois', 'Indiana', 'Iowa State', 'Kansas State', 'LSU', 'Maryland', 'Miami', 'Rhode Island', 'Southern Miss', 'TCU', 'Toledo', 'UCF', 'USF']",FL
