player_id,name,team,url,position,score,hometown,state
211,Kerion Martin,Marshall,https://247sports.com/player/kerion-martin-46082213,S ,0.8139,Charleston,WV
212,Immanuel Bush,Marshall,https://247sports.com/player/immanuel-bush-46086138,SDE ,0.8118,Lancaster,SC
213,Daytione Smith,Marshall,https://247sports.com/player/daytione-smith-46081689,WR ,0.8114,Highland Springs,VA
214,Charlie Gray,Marshall,https://247sports.com/player/charlie-gray-46097589,ILB ,0.81,El Dorado,KS
215,Chris Everhart,Marshall,https://247sports.com/player/chris-everhart-46085325,OG ,0.8053,Greeneville,TN
216,EJ Horton,Marshall,https://247sports.com/player/ej-horton-46097588,WR ,0.8003,Charleston,SC
217,De’Kwan Hughes,Marshall,https://247sports.com/player/dekwan-hughes-46081413,CB ,0.8003,Seffner,FL
218,Keylin Roach,Marshall,https://247sports.com/player/keylin-roach-46099317,CB ,0.8,Milledgeville,GA
219,Ethan Ingram,Marshall,https://247sports.com/player/ethan-ingram-46097585,OG ,0.7902,Gainesville,FL
220,Abraham Beauplan,Marshall,https://247sports.com/player/abraham-beauplan-46041972,OLB ,0.78,Corsicana,TX
221,Shadeed Ahmed,Marshall,https://247sports.com/player/shadeed-ahmed-46042920,WR ,0.78,Corsicana,TX
222,Hayden Hagler,Marshall,https://247sports.com/player/hayden-hagler-46051041,TE ,0.78,Brenham,TX
223,Joshua Bowers,Marshall,https://247sports.com/player/joshua-bowers-90556,CB ,0.77,Corsicana,TX
224,Jhari Patterson,Marshall,https://247sports.com/player/jhari-patterson-46077059,WR ,0.8654,Asheville,NC
225,Josh Hardeman,Marshall,https://247sports.com/player/josh-hardeman-46097096,S ,0.8344,Covington,GA
226,Chancellor Bright,Marshall,https://247sports.com/player/chancellor-bright-46055118,WR ,0.8316,Knoxville,TN
227,Logan Clark,Marshall,https://247sports.com/player/logan-clark-46085100,TE ,0.8263,Coffeyville,KS
228,Jayvon Burrell,Marshall,https://247sports.com/player/jayvon-burrell-46085510,DT ,0.7781,Colonial Heights,VA
230,Isiah Childs,Akron,https://247sports.com/player/isiah-childs-46085263,OLB ,0.8281,Wamego,KS
231,Janirr Wade,Akron,https://247sports.com/player/janirr-wade-46081139,SDE ,0.8247,Stone Mountain,GA
232,Woobendy Guerrier,Akron,https://247sports.com/player/woobendy-guerrier-46096681,CB ,0.8195,El Dorado,KS
233,Juan Jarrett,Akron,https://247sports.com/player/juan-jarrett-46058578,OLB ,0.816,Cincinnati,OH
234,MyJaden Horton,Akron,https://247sports.com/player/myjaden-horton-46035429,DUAL ,0.8159,West Chester,OH
235,Teon Dollard,Akron,https://247sports.com/player/teon-dollard-46096513,RB ,0.8113,Independence,KS
236,Chukwudifu Ogbonna,Akron,https://247sports.com/player/chukwudifu-ogbonna-90916,S ,0.8101,Hutchinson,KS
237,Joey Marousek,Akron,https://247sports.com/player/joey-marousek-46083478,DUAL ,0.8052,North Royalton,OH
238,Ronan Chambers,Akron,https://247sports.com/player/ronan-chambers-46078765,OT ,0.8052,Lakewood,OH
239,Konata Mumpfield,Akron,https://247sports.com/player/konata-mumpfield-46099034,ATH ,0.8051,Dacula,GA
240,Brycen Yarmo,Akron,https://247sports.com/player/brycen-yarmo-46095022,TE ,0.8046,Coffeyville,KS
241,DiMarco Johnson,Akron,https://247sports.com/player/dimarco-johnson-46094269,S ,0.8044,Irmo,SC
242,Jonzell Norrils,Akron,https://247sports.com/player/jonzell-norrils-46097214,RB ,0.8029999999999999,Toledo,OH
243,Ronald Jackson,Akron,https://247sports.com/player/ronald-jackson-46053431,S ,0.8003,Belleville,MI
244,Nazir Sy,Akron,https://247sports.com/player/nazir-sy-46039400,DT ,0.7999,El Dorado,KS
245,Ryan McClain,Akron,https://247sports.com/player/ryan-mcclain-46097212,OLB ,0.7999,Garden City,KS
246,Michael Snowden,Akron,https://247sports.com/player/michael-snowden-46085682,S ,0.7958,Pittsburgh,PA
247,Deacon Allen,Akron,https://247sports.com/player/deacon-allen-46076970,OG ,0.7956,Rockmart,GA
248,Tristian Brank,Akron,https://247sports.com/player/tristian-brank-46097215,TE ,0.7896,Asheville,NC
249,Nate Williams,Akron,https://247sports.com/player/nate-williams-46097213,OT ,0.7868,Newark,OH
250,Charles Amankwaa,Akron,https://247sports.com/player/charles-amankwaa-46098187,CB ,0.7839,New Rochelle,NY
